title,artist,url
DINERO,MORGENSHTERN,https://open.spotify.com/track/6HHcW1tddM6sHVBBjOkeIb
Valot sammuu,Cheek,https://open.spotify.com/track/39J7BoHrpoR9V3vUBIj1wK
Make You Remember (feat. Your Friends),Lazy Weekends,https://open.spotify.com/track/1xcHfI2pbsBKmKDbd1zD96
Shotgun,George Ezra,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
Passionfruit,Drake,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
Psycho (feat. Ty Dolla $ign),Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
Castle on the Hill,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,https://open.spotify.com/track/5K09WxKdlkroDyEVyOSySy
Lucid Dreams,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
Holy (feat. Chance The Rapper),Justin Bieber,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
Say My Name,"David Guetta, Bebe Rexha, J Balvin",https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
Starkare,Miss Li,https://open.spotify.com/track/3zXw6rU0S9cOfudFiA6FKm
Estamos Bien,Bad Bunny,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
It’s OK To Be Sad,Janice Vidal,https://open.spotify.com/track/0up477QX11ffSLneXa0xHA
Heavy (feat. Kiiara),Linkin Park,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
HEART ATTACK (feat. lau.ra),"BRONSON, ODESZA, Golden Features",https://open.spotify.com/track/4esIFtCJ2RUFbJpDGluVG4
Dior,Pop Smoke,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
Benga po snijegu,"Jala Brat, Buba Corelli, Rasta",https://open.spotify.com/track/1hEUZVap65B5UwJKJMJyWD
Boy With Luv (feat. Halsey),BTS,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
Бібліотека,Колос,https://open.spotify.com/track/6ekNzvEmnCPbIdTFjRtw6L
SHUM,Go_A,https://open.spotify.com/track/7mEDVrAHDnQJStDo8jKJJm
WOLFGANG,Stray Kids,https://open.spotify.com/track/5520a7iiRxB9bjf6mc7TyS
The Middle,"Zedd, Maren Morris, Grey",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
Crying in the Club,Camila Cabello,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
En algún lugar,Duncan Dhu,https://open.spotify.com/track/3UIENhLRdFIOuRan92cAQu
Mi Religión,Yandel,https://open.spotify.com/track/2bdD0eYH8XirjVAXq68JAN
Sorry,Justin Bieber,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
Shallow,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
El Final Remix,"Goldy Boy, Ozuna",https://open.spotify.com/track/1U5vNXDtpgrXwhBmyLRbuV
Singular,ANAVITÓRIA,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX
the 1,Taylor Swift,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
Vete,Bad Bunny,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
RÁJ,"Decky, Viktor Sheen",https://open.spotify.com/track/49HB2EjRtkmXZAKpu3OdKT
MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",XXXTENTACION,https://open.spotify.com/track/14boA065HMHWvqyPPEeN4y
Eu Quero Comer Você,Elza Soares,https://open.spotify.com/track/3npmGd0prBwxBIsFDkzc5w
Johtotähti,JVG,https://open.spotify.com/track/1Ka7Nk39UCxJzXxG8qOpLF
Sixteen,Ellie Goulding,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
"KHEA: Bzrp Music Sessions, Vol. 34","Bizarrap, KHEA",https://open.spotify.com/track/7bidsoy3nzCDNYzAzrV7NN
"Zanı (feat. Cash Flow, Boykot & Zeze)","Gazapizm, The Cash Flow",https://open.spotify.com/track/0qyGQFsJG06DkooGyCWD3U
Love You Like That,Dagny,https://open.spotify.com/track/3205YaV6srWWF1WmebkLdA
Mannapuuroa ja Mansikkaa (feat. Yona),Seksikäs-Suklaa,https://open.spotify.com/track/4LVtt2675Qw91VdIbFZsBQ
Детство,Rauf & Faik,https://open.spotify.com/track/381kyofsIJKajRfX9iKLs8
Prisoner (feat. Dua Lipa),Miley Cyrus,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
Cristina,Sebastian Yatra,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
Por Mi No Te Detengas,Banda MS de Sergio Lizárraga,https://open.spotify.com/track/3mV5TTtHnXUeOzRkyFKsVl
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
Sandra,TOQUEL,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
Experimento,Myke Towers,https://open.spotify.com/track/6c32C8T3KlXrbvWSoD5aON
Wrong,Luh Kel,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg
Sliding Doors,"Jazzu, Merūnas",https://open.spotify.com/track/14fKZ54JvOXCKARuH6tW9B
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
Ya Me Enteré,Reik,https://open.spotify.com/track/0lPXFrKyl8HkdQ2E6NmNja
Shallow,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
Bibia Be Ye Ye,Ed Sheeran,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
Mocca - Remix,"Lalo Ebratt, J Balvin, Trapical",https://open.spotify.com/track/1usoXi4f0BnMART4uActEA
T-Shirt,Migos,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
Unica - Remix,"Ozuna, Anuel AA, Wisin, Yandel",https://open.spotify.com/track/5Sv1rKKMX1yl9kfJ2HTluk
Betrayed,Lil Xan,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
