,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name
5zLnA9bO6QXc4AAvCriJfO,0.742,0.464,6,-5.624,0,0.0318,0.425,0,0.284,0.281,92.107,audio_features,5zLnA9bO6QXc4AAvCriJfO,spotify:track:5zLnA9bO6QXc4AAvCriJfO,https://api.spotify.com/v1/tracks/5zLnA9bO6QXc4AAvCriJfO,https://api.spotify.com/v1/audio-analysis/5zLnA9bO6QXc4AAvCriJfO,200742,4,never seen the rain,tones and i
2VcS3oKcOPkubN9LVzZ96l,0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,audio_features,2VcS3oKcOPkubN9LVzZ96l,spotify:track:2VcS3oKcOPkubN9LVzZ96l,https://api.spotify.com/v1/tracks/2VcS3oKcOPkubN9LVzZ96l,https://api.spotify.com/v1/audio-analysis/2VcS3oKcOPkubN9LVzZ96l,232960,4,longshot,catfish and the bottlemen
4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01,audio_features,4t9a07PAghtQMRAIP9FQ7Z,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,https://api.spotify.com/v1/tracks/4t9a07PAghtQMRAIP9FQ7Z,https://api.spotify.com/v1/audio-analysis/4t9a07PAghtQMRAIP9FQ7Z,266087,4,soltera - remix,"lunay, daddy yankee, bad bunny"
5u7twkeask1VIyDeNTElSU,0.786,0.899,10,-0.515,1,0.127,0.192,0.000189,0.299,0.813,90.025,audio_features,5u7twkeask1VIyDeNTElSU,spotify:track:5u7twkeask1VIyDeNTElSU,https://api.spotify.com/v1/tracks/5u7twkeask1VIyDeNTElSU,https://api.spotify.com/v1/audio-analysis/5u7twkeask1VIyDeNTElSU,216510,4,sal y perrea,sech
7q587HLz90L2PFrhKZjIYa,0.788,0.585,10,-4.884,1,0.0558,0.297,0,0.346,0.84,136.003,audio_features,7q587HLz90L2PFrhKZjIYa,spotify:track:7q587HLz90L2PFrhKZjIYa,https://api.spotify.com/v1/tracks/7q587HLz90L2PFrhKZjIYa,https://api.spotify.com/v1/audio-analysis/7q587HLz90L2PFrhKZjIYa,266827,4,bye bye,oscar anton
1Mp0pEQhQhvAXutYpLJOqh,0.619,0.307,7,-10.241,1,0.0371,0.883,2.86e-05,0.363,0.367,129.734,audio_features,1Mp0pEQhQhvAXutYpLJOqh,spotify:track:1Mp0pEQhQhvAXutYpLJOqh,https://api.spotify.com/v1/tracks/1Mp0pEQhQhvAXutYpLJOqh,https://api.spotify.com/v1/audio-analysis/1Mp0pEQhQhvAXutYpLJOqh,221447,4,慢慢喜歡你,karen mok
2XVilv6s9GETnw9PG4T9Mz,0.74,0.74,5,-3.647,0,0.0686,0.205,0,0.107,0.717,93.95,audio_features,2XVilv6s9GETnw9PG4T9Mz,spotify:track:2XVilv6s9GETnw9PG4T9Mz,https://api.spotify.com/v1/tracks/2XVilv6s9GETnw9PG4T9Mz,https://api.spotify.com/v1/audio-analysis/2XVilv6s9GETnw9PG4T9Mz,219600,4,el préstamo,maluma
2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,audio_features,2BY7ALEWdloFHgQZG6VMLA,spotify:track:2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/audio-analysis/2BY7ALEWdloFHgQZG6VMLA,186827,4,brandy (you're a fine girl),looking glass
3cJjqvXbFwiWgnuWgoyhPM,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,audio_features,3cJjqvXbFwiWgnuWgoyhPM,spotify:track:3cJjqvXbFwiWgnuWgoyhPM,https://api.spotify.com/v1/tracks/3cJjqvXbFwiWgnuWgoyhPM,https://api.spotify.com/v1/audio-analysis/3cJjqvXbFwiWgnuWgoyhPM,173104,4,dark red,steve lacy
0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4,that's what i like,bruno mars
3BZkEOJwKUYRlkLWZB1izC,0.679,0.69,1,-2.744,0,0.054,0.0256,8.92e-06,0.07,0.648,99.949,audio_features,3BZkEOJwKUYRlkLWZB1izC,spotify:track:3BZkEOJwKUYRlkLWZB1izC,https://api.spotify.com/v1/tracks/3BZkEOJwKUYRlkLWZB1izC,https://api.spotify.com/v1/audio-analysis/3BZkEOJwKUYRlkLWZB1izC,226350,4,fire,peking duk
6pLcaMkr9zB9nVMqe7sToa,0.735,0.416,7,-6.316,1,0.356,0.259,1.65e-05,0.144,0.303,169.967,audio_features,6pLcaMkr9zB9nVMqe7sToa,spotify:track:6pLcaMkr9zB9nVMqe7sToa,https://api.spotify.com/v1/tracks/6pLcaMkr9zB9nVMqe7sToa,https://api.spotify.com/v1/audio-analysis/6pLcaMkr9zB9nVMqe7sToa,266218,4,sin ti - remix,"jay wheeler, brytiago, dj nelson"
0jT8Nl0shPS8115is0wD2Q,0.606,0.853,9,-2.975,1,0.0545,0.237,0,0.251,0.822,178.043,audio_features,0jT8Nl0shPS8115is0wD2Q,spotify:track:0jT8Nl0shPS8115is0wD2Q,https://api.spotify.com/v1/tracks/0jT8Nl0shPS8115is0wD2Q,https://api.spotify.com/v1/audio-analysis/0jT8Nl0shPS8115is0wD2Q,209766,4,favorito,camilo
2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,audio_features,2BgEsaKNfHUdlh97KmvFyo,spotify:track:2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/tracks/2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/audio-analysis/2BgEsaKNfHUdlh97KmvFyo,186987,4,2002,anne-marie
7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.406,0,0.174,0.637,120.03,audio_features,7C1trmcQQ5n5RNy4l6ziCv,spotify:track:7C1trmcQQ5n5RNy4l6ziCv,https://api.spotify.com/v1/tracks/7C1trmcQQ5n5RNy4l6ziCv,https://api.spotify.com/v1/audio-analysis/7C1trmcQQ5n5RNy4l6ziCv,186878,4,some say - felix jaehn remix,nea
0qc4QlcCxVTGyShurEv1UU,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,audio_features,0qc4QlcCxVTGyShurEv1UU,spotify:track:0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/tracks/0qc4QlcCxVTGyShurEv1UU,https://api.spotify.com/v1/audio-analysis/0qc4QlcCxVTGyShurEv1UU,174444,4,post malone (feat. rani),sam feldt
6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4,popstar (feat. drake),dj khaled
3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,audio_features,3H7ihDc1dqLriiWXwsc2po,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4,breaking me,"topic, a7s"
7L0ZxkPAVVJ3i0M8Zx6jVT,0.319,0.733,4,-12.13,1,0.0407,0.0338,0.00101,0.343,0.722,136.009,audio_features,7L0ZxkPAVVJ3i0M8Zx6jVT,spotify:track:7L0ZxkPAVVJ3i0M8Zx6jVT,https://api.spotify.com/v1/tracks/7L0ZxkPAVVJ3i0M8Zx6jVT,https://api.spotify.com/v1/audio-analysis/7L0ZxkPAVVJ3i0M8Zx6jVT,189560,4,after all,the frank and walters
0ItaFmeMHPjTWeYzKSgXE3,0.728,0.405,6,-9.974,0,0.198,0.124,0.924,0.241,0.144,159.014,audio_features,0ItaFmeMHPjTWeYzKSgXE3,spotify:track:0ItaFmeMHPjTWeYzKSgXE3,https://api.spotify.com/v1/tracks/0ItaFmeMHPjTWeYzKSgXE3,https://api.spotify.com/v1/audio-analysis/0ItaFmeMHPjTWeYzKSgXE3,169811,4,hammarkullen - recorded at spotify studios stockholm,"aden x asme, aden, asme"
2IxAnOGW5bUUHFTL8JaKPI,0.491,0.561,2,-9.208,1,0.0273,0.463,0.529,0.511,0.468,90.032,audio_features,2IxAnOGW5bUUHFTL8JaKPI,spotify:track:2IxAnOGW5bUUHFTL8JaKPI,https://api.spotify.com/v1/tracks/2IxAnOGW5bUUHFTL8JaKPI,https://api.spotify.com/v1/audio-analysis/2IxAnOGW5bUUHFTL8JaKPI,221693,4,actually,ang bandang shirley
0IEpFiWXbmfpiiUHPlPkYC,0.782,0.624,2,-10.807,1,0.415,0.44,0,0.119,0.673,142.107,audio_features,0IEpFiWXbmfpiiUHPlPkYC,spotify:track:0IEpFiWXbmfpiiUHPlPkYC,https://api.spotify.com/v1/tracks/0IEpFiWXbmfpiiUHPlPkYC,https://api.spotify.com/v1/audio-analysis/0IEpFiWXbmfpiiUHPlPkYC,225875,4,u.,niteboi
